Pair Address,Price (USD),FDV,Market Cap,Liquidity (USD),M5 Buys,M5 Sells,H1 Buys,H1 Sells,H6 Buys,H6 Sells,H24 Buys,H24 Sells,Volume M5,Volume H1,Volume H6,Volume H24
8yhYZPgyRF2v4uDZg8uVbFZ2uFUoaCAR7jkN8VSESKiZ,0.00001315,32897,32897,29411.77,3,0,3,0,3,0,3,0,1797.92,1797.92,1797.92,1797.92
8yhYZPgyRF2v4uDZg8uVbFZ2uFUoaCAR7jkN8VSESKiZ,0.00001315,32897,32897,29411.77,3,0,3,0,3,0,3,0,1797.92,1797.92,1797.92,1797.92
8yhYZPgyRF2v4uDZg8uVbFZ2uFUoaCAR7jkN8VSESKiZ,0.00001315,32897,32897,29411.77,3,0,3,0,3,0,3,0,1797.92,1797.92,1797.92,1797.92
8yhYZPgyRF2v4uDZg8uVbFZ2uFUoaCAR7jkN8VSESKiZ,0.00001315,32897,32897,29411.77,3,0,3,0,3,0,3,0,1797.92,1797.92,1797.92,1797.92
8yhYZPgyRF2v4uDZg8uVbFZ2uFUoaCAR7jkN8VSESKiZ,0.00001717,42941,42941,33618.88,9,0,9,0,9,0,9,0,4012.1,4012.1,4012.1,4012.1
8yhYZPgyRF2v4uDZg8uVbFZ2uFUoaCAR7jkN8VSESKiZ,0.00001717,42941,42941,33618.88,9,0,9,0,9,0,9,0,4012.1,4012.1,4012.1,4012.1
8yhYZPgyRF2v4uDZg8uVbFZ2uFUoaCAR7jkN8VSESKiZ,0.00001717,42941,42941,33618.88,9,0,9,0,9,0,9,0,4012.1,4012.1,4012.1,4012.1
8yhYZPgyRF2v4uDZg8uVbFZ2uFUoaCAR7jkN8VSESKiZ,0.00001717,42941,42941,33618.88,9,0,9,0,9,0,9,0,4012.1,4012.1,4012.1,4012.1
8yhYZPgyRF2v4uDZg8uVbFZ2uFUoaCAR7jkN8VSESKiZ,0.00002318,57970,57970,39076.27,16,0,16,0,16,0,16,0,6392.79,6392.79,6392.79,6392.79
8yhYZPgyRF2v4uDZg8uVbFZ2uFUoaCAR7jkN8VSESKiZ,0.00002318,57970,57970,39076.27,16,0,16,0,16,0,16,0,6392.79,6392.79,6392.79,6392.79
8yhYZPgyRF2v4uDZg8uVbFZ2uFUoaCAR7jkN8VSESKiZ,0.00002318,57970,57970,39076.27,16,0,16,0,16,0,16,0,6392.79,6392.79,6392.79,6392.79
