Pair Address,Price (USD),FDV,Market Cap,Liquidity (USD),M5 Buys,M5 Sells,H1 Buys,H1 Sells,H6 Buys,H6 Sells,H24 Buys,H24 Sells,Volume M5,Volume H1,Volume H6,Volume H24
97fq1gjsEySLaoZ2RxNFz759qmsb1aNdKwhZ9Tk6JgJu,0.00004139,28149,28149,28538.41,5,0,5,0,5,0,5,0,1314.57,1314.57,1314.57,1314.57
97fq1gjsEySLaoZ2RxNFz759qmsb1aNdKwhZ9Tk6JgJu,0.00004139,28149,28149,28538.41,5,0,5,0,5,0,5,0,1314.57,1314.57,1314.57,1314.57
97fq1gjsEySLaoZ2RxNFz759qmsb1aNdKwhZ9Tk6JgJu,0.00004139,28149,28149,28538.41,5,0,5,0,5,0,5,0,1314.57,1314.57,1314.57,1314.57
97fq1gjsEySLaoZ2RxNFz759qmsb1aNdKwhZ9Tk6JgJu,0.00004139,28149,28149,28538.41,5,0,5,0,5,0,5,0,1314.57,1314.57,1314.57,1314.57
97fq1gjsEySLaoZ2RxNFz759qmsb1aNdKwhZ9Tk6JgJu,0.00006961,47341,47341,37036.49,15,0,15,0,15,0,15,0,5555.57,5555.57,5555.57,5555.57
97fq1gjsEySLaoZ2RxNFz759qmsb1aNdKwhZ9Tk6JgJu,0.00006961,47341,47341,37036.49,15,0,15,0,15,0,15,0,5555.57,5555.57,5555.57,5555.57
97fq1gjsEySLaoZ2RxNFz759qmsb1aNdKwhZ9Tk6JgJu,0.00006961,47341,47341,37036.49,15,0,15,0,15,0,15,0,5555.57,5555.57,5555.57,5555.57
97fq1gjsEySLaoZ2RxNFz759qmsb1aNdKwhZ9Tk6JgJu,0.00006961,47341,47341,37036.49,15,0,15,0,15,0,15,0,5555.57,5555.57,5555.57,5555.57
97fq1gjsEySLaoZ2RxNFz759qmsb1aNdKwhZ9Tk6JgJu,0.0001006,68457,68457,44560.11,23,0,23,0,23,0,23,0,9292.51,9292.51,9292.51,9292.51
97fq1gjsEySLaoZ2RxNFz759qmsb1aNdKwhZ9Tk6JgJu,0.0001006,68457,68457,44560.11,23,0,23,0,23,0,23,0,9292.51,9292.51,9292.51,9292.51
97fq1gjsEySLaoZ2RxNFz759qmsb1aNdKwhZ9Tk6JgJu,0.0001006,68457,68457,44560.11,23,0,23,0,23,0,23,0,9292.51,9292.51,9292.51,9292.51
97fq1gjsEySLaoZ2RxNFz759qmsb1aNdKwhZ9Tk6JgJu,0.0001006,68457,68457,44560.11,23,0,23,0,23,0,23,0,9292.51,9292.51,9292.51,9292.51
97fq1gjsEySLaoZ2RxNFz759qmsb1aNdKwhZ9Tk6JgJu,0.0001432,97424,97424,53190.34,32,0,32,0,32,0,32,0,13549.05,13549.05,13549.05,13549.05
97fq1gjsEySLaoZ2RxNFz759qmsb1aNdKwhZ9Tk6JgJu,0.0001432,97424,97424,53190.34,32,0,32,0,32,0,32,0,13549.05,13549.05,13549.05,13549.05
97fq1gjsEySLaoZ2RxNFz759qmsb1aNdKwhZ9Tk6JgJu,0.0001432,97424,97424,53190.34,32,0,32,0,32,0,32,0,13549.05,13549.05,13549.05,13549.05
97fq1gjsEySLaoZ2RxNFz759qmsb1aNdKwhZ9Tk6JgJu,0.0001432,97424,97424,53190.34,32,0,32,0,32,0,32,0,13549.05,13549.05,13549.05,13549.05
97fq1gjsEySLaoZ2RxNFz759qmsb1aNdKwhZ9Tk6JgJu,0.0001687,114762,114762,57702.61,40,0,40,0,40,0,40,0,15936.96,15936.96,15936.96,15936.96
97fq1gjsEySLaoZ2RxNFz759qmsb1aNdKwhZ9Tk6JgJu,0.0001687,114762,114762,57702.61,40,0,40,0,40,0,40,0,15936.96,15936.96,15936.96,15936.96
97fq1gjsEySLaoZ2RxNFz759qmsb1aNdKwhZ9Tk6JgJu,0.0001687,114762,114762,57702.61,40,0,40,0,40,0,40,0,15936.96,15936.96,15936.96,15936.96
97fq1gjsEySLaoZ2RxNFz759qmsb1aNdKwhZ9Tk6JgJu,0.0001687,114762,114762,57702.61,40,0,40,0,40,0,40,0,15936.96,15936.96,15936.96,15936.96
