Pair Address,Price (USD),FDV,Market Cap,Liquidity (USD),M5 Buys,M5 Sells,H1 Buys,H1 Sells,H6 Buys,H6 Sells,H24 Buys,H24 Sells,Volume M5,Volume H1,Volume H6,Volume H24
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001264,1264666,1264666,164054.22,168,134,2156,1707,13842,11287,46600,34185,50951.44,612849.9,4329462.89,12756678.4
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001256,1255997,1255997,163619.44,167,142,2162,1729,13844,11290,46638,34226,43735.25,611398.91,4321754.76,12761045.31
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001240,1240967,1240967,162506.85,160,157,2157,1745,13839,11280,46677,34266,41001.75,615459.81,4316470.96,12771151.2
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001196,1196332,1196332,159680.24,129,150,2140,1747,13803,11263,46694,34296,29344.19,606534.05,4304112.99,12774357.14
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001164,1164614,1164614,157401.15,137,153,2153,1761,13802,11258,46730,34332,23750.91,605709.9,4292996.73,12778901.15
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001134,1134739,1134739,155173.26,135,145,2150,1762,13744,11246,46757,34363,22048.15,598559.22,4265406.87,12781795.72
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001121,1121268,1121268,154210.26,167,172,2182,1789,13776,11273,46789,34390,27835.43,604346.51,4271194.15,12787583
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001065,1065374,1065374,150644.87,196,164,2230,1802,13764,11250,46882,34449,24988.47,604766.32,4261153.44,12798092.22
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001160,1160389,1160389,157160.57,212,165,2240,1812,13755,11255,46932,34490,31763.49,598159.18,4259213.35,12809711.89
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001137,1137779,1137779,155589.08,206,170,2237,1828,13741,11258,46958,34524,32078.99,596208.72,4255377.14,12813191.32
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001126,1126857,1126857,154854.64,169,162,2229,1848,13713,11241,46972,34558,28384.14,598822.23,4250509.28,12817708.66
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001137,1137289,1137289,155472.12,123,147,2221,1854,13702,11237,46984,34586,26917.21,596225,4251795.05,12823588.55
